id,geom,species,name,lat,lon,surveyed,gid
71,0104000020B20E00000100000001010000006C1E2C72F0D4E54020EA7F64E54EDA40,gentoo,Diaz Cove - Kuprianov Islands,-54.756,-36.3055,1999,71
72,0104000020B20E00000100000001010000003FCDC7876AFFE5401B89DA0B7677DA40,gentoo,Diaz Cove 1,-54.7545,-36.3003,1999,72
73,0104000020B20E000001000000010100000056D9981B45DFE54081F8B10B0C19DB40,gentoo,Diaz Cove 2,-54.7488,-36.3044,1999,73
74,0104000020B20E0000010000000101000000CE9D618241C4E540E5D221C1E852DB40,gentoo,Diaz Cove 3,-54.7467,-36.3077,1999,74
75,0104000020B20E0000010000000101000000989C7B27BBC4E5408FDDE6A66794DB40,gentoo,Diaz Cove 4,-54.7443,-36.3077,1999,75
76,0104000020B20E0000010000000101000000D461E4E0EEF0E540009D91893106DC40,gentoo,Diaz Cove 5,-54.7402,-36.3023,1999,76
77,0104000020B20E00000100000001010000001D8C413664E4EA4087CC15721F1DED40,gentoo,Doris Bay,-54.4614,-36.1507,1999,77
78,0104000020B20E0000010000000101000000906ACC3EC950EF404A186A75D02ACB40,gentoo,Doubtful Bay,-54.871,-36.001,1999,78
79,0104000020B20E000001000000010100000050E207B7F58AF040B6F33266C92DD440,gentoo,Drygalski Fjord - Bogen Glacier,-54.8098,-35.9461,1999,79
80,0104000020B20E0000010000000101000000C93054A49CAFC8C03883DF328248F940,gentoo,Eckmann Fjord,-54.0695,-37.1931,1999,80
81,0104000020B20E00000100000001010000002B2C5CCF189CE5C073384078C1B7F640,gentoo,Elephant Cove,-54.1622,-37.6776,1999,81
82,0104000020B20E0000010000000101000000E9361425660DA04004099147D97AF140,gentoo,Fanning Ridge east 1,-54.3568,-36.9684,1999,82
83,0104000020B20E000001000000010100000008E50FDC9E047BC0A070A4E99188F140,gentoo,Fanning Ridge east 2,-54.3548,-37.0066,1999,83
84,0104000020B20E000001000000010100000040DAD1417633C5406CAC5BBAAA80F740,gentoo,Fortuna Bay - Whistle Cove 1,-54.1351,-36.8339,1999,84
85,0104000020B20E000001000000010100000032E7347AD5E1C640E5E0E60D892BF740,gentoo,Fortuna Bay - Whistle Cove 2,-54.1473,-36.8207,1999,85
86,0104000020B20E00000100000001010000000288F9436189D64011743A47225AF740,gentoo,Framnaes Point,-54.1402,-36.6469,1999,86
87,0104000020B20E0000010000000101000000AF89D0C1D648E6408C1B385C7C82F340,gentoo,Godthul 1,-54.2801,-36.2993,1999,87
88,0104000020B20E0000010000000101000000DDB532ABB56EE6404A37AF7FDE71F340,gentoo,Godthul 2,-54.2824,-36.2946,1999,88
89,0104000020B20E00000100000001010000003DA1CEB8C5E1E540A3D268E2C815F340,gentoo,Godthul 3,-54.2958,-36.3117,1999,89
90,0104000020B20E0000010000000101000000CC5CE9FB46BCE640B2DC8463F31CF340,gentoo,Godthul 4,-54.2946,-36.2849,1999,90
91,0104000020B20E000001000000010100000002D6C1221AC6E640ADA9D66D93E3F240,gentoo,Godthul 5,-54.3028,-36.2835,1999,91
92,0104000020B20E00000100000001010000004E767187AAC0F0405DB022835C88E440,gentoo,Gold Harbour 1,-54.6176,-35.9378,1999,92
93,0104000020B20E000001000000010100000060F54D22A290F040A34E8DCDFD4FE440,gentoo,Gold Harbour 2,-54.6218,-35.9496,1999,93
94,0104000020B20E00000100000001010000003A8D88BA2699F0400DA4BBFA8075E340,gentoo,Gold Harbour 3,-54.6374,-35.947,1999,94
95,0104000020B20E0000010000000101000000594F1F458127EC40B7B397B0F800C640,gentoo,Green Island,-54.8955,-36.1013,1999,95
96,0104000020B20E000001000000010100000020707405E774F140EAA3EF1E0436D540,gentoo,Hamilton Bay 1,-54.7998,-35.8882,1999,96
97,0104000020B20E0000010000000101000000A2501D8E4A16F140DB55312B2975D440,gentoo,Hamilton Bay 2,-54.807,-35.9115,1999,97
98,0104000020B20E0000010000000101000000BA4A8689B4C1E640970BAF8B13ACD840,gentoo,Harmer Glacier 1,-54.7709,-36.2758,1999,98
99,0104000020B20E0000010000000101000000004083B52644E640F8EED9C6C9C4D940,gentoo,Harmer Glacier 2,-54.7609,-36.2916,1999,99
100,0104000020B20E000001000000010100000044E07AA60190AB407B4DB73ED8A2EC40,gentoo,Hauge Reef centre,-54.4732,-36.9456,1999,100
101,0104000020B20E0000010000000101000000C33E5CEB99A0B4409C59B4ACF7EFEC40,gentoo,Hauge Reef east,-54.4676,-36.9186,1999,101
102,0104000020B20E00000100000001010000008545714660E08E40F0A435E3CE40EC40,gentoo,Hauge Reef west,-54.4802,-36.9848,1999,102
103,0104000020B20E00000100000001010000004D7B5C2EAF07D1402A66149B4A68EC40,gentoo,Henningsen Glacier 1,-54.4771,-36.731,1999,103
104,0104000020B20E0000010000000101000000728594F66F4CCE40A113329DC42EED40,gentoo,Henningsen Glacier 2,-54.4629,-36.7608,1999,104
105,0104000020B20E0000010000000101000000E050A7F722F8D0C023BC6A05675BF440,gentoo,Holemstrand 1,-54.2506,-37.2666,1999,105
106,0104000020B20E0000010000000101000000AF981DC56E69D1C08FED8660DC2DF440,gentoo,Holmestrand 2,-54.2572,-37.2736,1999,106
107,0104000020B20E0000010000000101000000CC5699E6A4E2D1C0B9C149808717F440,gentoo,Holmestrand 3,-54.2604,-37.2811,1999,107
108,0104000020B20E0000010000000101000000A00EB7CC2E7EE7409E662B819093F240,gentoo,Horseshoe Bay,-54.3142,-36.2607,1999,108
109,0104000020B20E00000100000001010000005D5E95BBFA39BAC048393E30516FF340,gentoo,Horten,-54.2848,-37.1031,1999,109
110,0104000020B20E00000100000001010000004033063D4312E840A78A5D8E5279F040,gentoo,Hound Bay west,-54.3914,-36.2411,1999,110
111,0104000020B20E0000010000000101000000D353A7EA4F6DE74089D6447774CAF040,gentoo,Hound Bay west,-54.3799,-36.2616,1999,111
112,0104000020B20E0000010000000101000000B1BFE684CC12D440994FF8A61EEBF540,gentoo,Husvik Harbour,-54.1931,-36.6851,1999,112
113,0104000020B20E0000010000000101000000D83A9E72CE96F0409BCDBAB7856EE040,gentoo,Iris Bay north,-54.6931,-35.9462,1999,113
114,0104000020B20E00000100000001010000001A6D2E1366BFC5C076434DEFAABFF340,gentoo,Jossac Bight - Bore 1,-54.2732,-37.1709,1999,114
115,0104000020B20E0000010000000101000000A95652576930C7C0B8891770BEDCF340,gentoo,Jossac Bight - Bore 2,-54.269,-37.1822,1999,115
116,0104000020B20E00000100000001010000002D823BDB1868DC40D7E57548345EF640,gentoo,Jumbo Cove,-54.1761,-36.5545,1999,116
117,0104000020B20E00000100000001010000001DF8E892A7F4E6C062DCC5E8DD56F840,gentoo,Kade Point,-54.1022,-37.7187,1999,117
118,0104000020B20E0000010000000101000000E82D25A31B8FD7402EF6D0509C2EF640,gentoo,Kelp Point,-54.1832,-36.6305,1999,118
119,0104000020B20E0000010000000101000000C23032CF94D9DBC06252447D2D3FF740,gentoo,King Haakon Bay north,-54.1438,-37.4364,1999,119
120,0104000020B20E00000100000001010000003F5668679B4EEE40D7F1EC9F4137EB40,gentoo,Koppen Point 1,-54.4955,-36.042,1999,120
121,0104000020B20E0000010000000101000000F7D9767781A2EE405DF21AF629F2EA40,gentoo,Koppen Point 2,-54.5004,-36.0315,1999,121
122,0104000020B20E00000100000001010000006AF32834E9E5EE404D49D38FE29CEA40,gentoo,Koppen Point 3,-54.5065,-36.0231,1999,122
123,0104000020B20E00000100000001010000004D7677F8D018EE401ABEA27E7270EA40,gentoo,Koppen Point 4,-54.5098,-36.0483,1999,123
124,0104000020B20E0000010000000101000000BE8AE942B040EE4045975CAFED02EA40,gentoo,Koppen Point 5,-54.5177,-36.0432,1999,124
125,0104000020B20E0000010000000101000000F41361E8BA37EF404D6360873582D240,gentoo,Larsen Harbour 1,-54.8257,-36.0052,1999,125
126,0104000020B20E0000010000000101000000C14682C6A3EBEF4012E968DA9442D140,gentoo,Larsen Harbour 2,-54.837,-35.9825,1999,126
127,0104000020B20E0000010000000101000000EA33DBDC784DDE40689519BCF1FFF540,gentoo,Larsen Point 1,-54.1895,-36.5246,1999,127
128,0104000020B20E0000010000000101000000891351616FD8DE4006A30554A702F640,gentoo,Larsen Point 2,-54.1891,-36.5161,1999,128
129,0104000020B20E0000010000000101000000D975A90A328CDF40B7EDF282AEF8F540,gentoo,Larsen Point 3,-54.1905,-36.5051,1999,129
130,0104000020B20E00000100000001010000005E433E537B18E040ADB9C4DF3C12F640,gentoo,Larsen Point 4,-54.1868,-36.495,1999,130
131,0104000020B20E0000010000000101000000AD34BC45F229BD40D19087872BDCF040,gentoo,Larvik,-54.3796,-36.8851,1999,131
132,0104000020B20E00000100000001010000001027CCC7CC7CD340C91EC51F985AF740,gentoo,Leith Harbour,-54.1403,-36.6947,1999,132
133,0104000020B20E00000100000001010000008C1679CB0455E14052A23CED079FE640,gentoo,Leon Head 1,-54.5826,-36.451,1999,133
134,0104000020B20E000001000000010100000070E3352048F0E0401641EC7CDEB9E640,gentoo,Leon Head 2,-54.5807,-36.4635,1999,134
135,0104000020B20E0000010000000101000000D80A73D89A59E040A0E0B171D42FE840,gentoo,Leon Head 3,-54.5539,-36.4825,1999,135
136,0104000020B20E00000100000001010000001466680A2832D1C0DBEFCEA4CC88F940,gentoo,Luck Point,-54.0601,-37.2689,1999,136
137,0104000020B20E000001000000010100000048702D768BDEE94065E55EC29926F040,gentoo,Luisa Bay 1,-54.403,-36.1841,1999,137
138,0104000020B20E000001000000010100000032288A1DCAF5E940879F52A36E8FF040,gentoo,Luisa Bay 2,-54.3879,-36.1816,1999,138
139,0104000020B20E0000010000000101000000341162D8080BE040295222A1DB69F440,gentoo,Maiviken,-54.2478,-36.4959,1999,139
140,0104000020B20E0000010000000101000000590BDD357207D4C0662876B184DBFA40,gentoo,Mollyhawk Island,-54.0113,-37.3129,1999,140
141,0104000020B20E00000100000001010000004229EFE79FCAEC40D757D420EDEDE940,gentoo,Moltke Harbour,-54.5195,-36.0894,1999,141
142,0104000020B20E0000010000000101000000AD6281CF67ECE7C01E0D499461A6F940,gentoo,Morsa Bay - Weddell Point 1,-54.0538,-37.7481,1999,142
143,0104000020B20E0000010000000101000000CBAEBB4974BAE8C0F482E0EB35B4F940,gentoo,Morsa Bay - Weddell Point 2,-54.0517,-37.7733,1999,143
144,0104000020B20E00000100000001010000003EA107C53123E9C0DC62942E7ABDF940,gentoo,Morsa Bay - Weddell Point 3,-54.0503,-37.786,1999,144
145,0104000020B20E00000100000001010000004391008CCBEAF04001546071B229E240,gentoo,Muller Point north 1,-54.6611,-35.9262,1999,145
146,0104000020B20E0000010000000101000000546B8AC1AFF0F040D52EF910DC67E140,gentoo,Muller Point north 2,-54.675,-35.9244,1999,146
147,0104000020B20E0000010000000101000000DACAC0E0F833E6C06CDF6C060863FB40,gentoo,Nameless Point 1,-53.9902,-37.6933,1999,147
148,0104000020B20E00000100000001010000005BF5B9E42C05E6C0CF9AC973EC4DFB40,gentoo,Nameless Point 2,-53.9933,-37.6876,1999,148
149,0104000020B20E0000010000000101000000DDEB8EE8091CE6C061028A9D0B2EFB40,gentoo,Nameless Point 3,-53.9979,-37.6905,1999,149
150,0104000020B20E0000010000000101000000E64F9DFAFB12E6C092CBD6120312FB40,gentoo,Nameless Point 4,-54.0019,-37.6894,1999,150
151,0104000020B20E000001000000010100000043EF1B7EF542E6C070B006FA5107FB40,gentoo,Nameless Point 5,-54.0034,-37.6953,1999,151
